 ITERARION NO:           1
 AVERAGE RES:   7.65449777E-02
 ITERARION NO:           2
 AVERAGE RES:   6.00638939E-03
 ITERARION NO:           3
 AVERAGE RES:   1.82218924E-02
 ITERARION NO:           4
 AVERAGE RES:   6.68862462E-03
 ITERARION NO:           5
 AVERAGE RES:   1.91971008E-02
 ITERARION NO:           6
 AVERAGE RES:   6.95127621E-03
 ITERARION NO:           7
 AVERAGE RES:   2.00221855E-02
 ITERARION NO:           8
 AVERAGE RES:   7.08926236E-03
 ITERARION NO:           9
 AVERAGE RES:   2.05248054E-02
 ITERARION NO:          10
 AVERAGE RES:   7.16628274E-03
 ITERARION NO:          11
 AVERAGE RES:   2.08117999E-02
 ITERARION NO:          12
 AVERAGE RES:   7.20928004E-03
 ITERARION NO:          13
 AVERAGE RES:   2.09723860E-02
 ITERARION NO:          14
 AVERAGE RES:   7.23313913E-03
 ITERARION NO:          15
 AVERAGE RES:   2.10615564E-02
 ITERARION NO:          16
 AVERAGE RES:   7.24633224E-03
 ITERARION NO:          17
 AVERAGE RES:   2.11108383E-02
 ITERARION NO:          18
 AVERAGE RES:   7.25361099E-03
 ITERARION NO:          19
 AVERAGE RES:   2.11379621E-02
 ITERARION NO:          20
 AVERAGE RES:   7.25761428E-03
 ITERARION NO:          21
 AVERAGE RES:   2.11529452E-02
 ITERARION NO:          22
 AVERAGE RES:   7.25982105E-03
 ITERARION NO:          23
 AVERAGE RES:   2.11611688E-02
 ITERARION NO:          24
 AVERAGE RES:   7.26103224E-03
 ITERARION NO:          25
 AVERAGE RES:   2.11656839E-02
 ITERARION NO:          26
 AVERAGE RES:   7.26169907E-03
 ITERARION NO:          27
 AVERAGE RES:   2.11681966E-02
 ITERARION NO:          28
 AVERAGE RES:   7.26206601E-03
 ITERARION NO:          29
 AVERAGE RES:   2.11695414E-02
 ITERARION NO:          30
 AVERAGE RES:   7.26226717E-03
 ITERARION NO:          31
 AVERAGE RES:   2.11703107E-02
 ITERARION NO:          32
 AVERAGE RES:   7.26238126E-03
 ITERARION NO:          33
 AVERAGE RES:   2.11707409E-02
 ITERARION NO:          34
 AVERAGE RES:   7.26244412E-03
 ITERARION NO:          35
 AVERAGE RES:   2.11709365E-02
 ITERARION NO:          36
 AVERAGE RES:   7.26247439E-03
 ITERARION NO:          37
 AVERAGE RES:   2.11710706E-02
 ITERARION NO:          38
 AVERAGE RES:   7.26249255E-03
 ITERARION NO:          39
 AVERAGE RES:   2.11711060E-02
 ITERARION NO:          40
 AVERAGE RES:   7.26249814E-03
 ITERARION NO:          41
 AVERAGE RES:   2.11711451E-02
 ITERARION NO:          42
 AVERAGE RES:   7.26250513E-03
 ITERARION NO:          43
 AVERAGE RES:   2.11711973E-02
 ITERARION NO:          44
 AVERAGE RES:   7.26251164E-03
 ITERARION NO:          45
 AVERAGE RES:   2.11712141E-02
 ITERARION NO:          46
 AVERAGE RES:   7.26251258E-03
 ITERARION NO:          47
 AVERAGE RES:   2.11712141E-02
 ITERARION NO:          48
 AVERAGE RES:   7.26251258E-03
 ITERARION NO:          49
