ITERARION NO:           1
 AVERAGE RES:   1.14817638E-02
 ITERARION NO:           2
 AVERAGE RES:   9.84647893E-04
 ITERARION NO:           3
 AVERAGE RES:   2.37077870E-03
 ITERARION NO:           4
 AVERAGE RES:   9.03271895E-04
 ITERARION NO:           5
 AVERAGE RES:   2.42374814E-03
 ITERARION NO:           6
 AVERAGE RES:   9.22397827E-04
 ITERARION NO:           7
 AVERAGE RES:   2.45675049E-03
 ITERARION NO:           8
 AVERAGE RES:   9.28400434E-04
 ITERARION NO:           9
 AVERAGE RES:   2.47531803E-03
 ITERARION NO:          10
 AVERAGE RES:   9.31405812E-04
 ITERARION NO:          11
 AVERAGE RES:   2.48531858E-03
 ITERARION NO:          12
 AVERAGE RES:   9.32998955E-04
 ITERARION NO:          13
 AVERAGE RES:   2.49061547E-03
 ITERARION NO:          14
 AVERAGE RES:   9.33845178E-04
 ITERARION NO:          15
 AVERAGE RES:   2.49340059E-03
 ITERARION NO:          16
 AVERAGE RES:   9.34285927E-04
 ITERARION NO:          17
 AVERAGE RES:   2.49492098E-03
 ITERARION NO:          18
 AVERAGE RES:   9.34528944E-04
 ITERARION NO:          19
 AVERAGE RES:   2.49572331E-03
 ITERARION NO:          20
 AVERAGE RES:   9.34656535E-04
 ITERARION NO:          21
 AVERAGE RES:   2.49616266E-03
 ITERARION NO:          22
 AVERAGE RES:   9.34726559E-04
 ITERARION NO:          23
 AVERAGE RES:   2.49636755E-03
 ITERARION NO:          24
 AVERAGE RES:   9.34759271E-04
 ITERARION NO:          25
 AVERAGE RES:   2.49650655E-03
 ITERARION NO:          26
 AVERAGE RES:   9.34776210E-04
 ITERARION NO:          27
 AVERAGE RES:   2.49655219E-03
 ITERARION NO:          28
 AVERAGE RES:   9.34783544E-04
 ITERARION NO:          29
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          30
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          31
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          32
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          33
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          34
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          35
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          36
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          37
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          38
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          39
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          40
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          41
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          42
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          43
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          44
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          45
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          46
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          47
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          48
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          49
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          50
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          51
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          52
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          53
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          54
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          55
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          56
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          57
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          58
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          59
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          60
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          61
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          62
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          63
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          64
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          65
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          66
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          67
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          68
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          69
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          70
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          71
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          72
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          73
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          74
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          75
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          76
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          77
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          78
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          79
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          80
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          81
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          82
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          83
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          84
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          85
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          86
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          87
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          88
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          89
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          90
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          91
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          92
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          93
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          94
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          95
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          96
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          97
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:          98
 AVERAGE RES:   9.34784883E-04
 ITERARION NO:          99
 AVERAGE RES:   2.49656173E-03
 ITERARION NO:         100
 AVERAGE RES:   9.34784883E-04

