ITERARION NO:           1
 AVERAGE RES:   2.29635108E-02
 ITERARION NO:           2
 AVERAGE RES:   1.92593317E-03
 ITERARION NO:           3
 AVERAGE RES:   4.72350558E-03
 ITERARION NO:           4
 AVERAGE RES:   1.80848280E-03
 ITERARION NO:           5
 AVERAGE RES:   4.83966479E-03
 ITERARION NO:           6
 AVERAGE RES:   1.85207021E-03
 ITERARION NO:           7
 AVERAGE RES:   4.90835635E-03
 ITERARION NO:           8
 AVERAGE RES:   1.86491967E-03
 ITERARION NO:           9
 AVERAGE RES:   4.94686421E-03
 ITERARION NO:          10
 AVERAGE RES:   1.87126757E-03
 ITERARION NO:          11
 AVERAGE RES:   4.96768858E-03
 ITERARION NO:          12
 AVERAGE RES:   1.87463837E-03
 ITERARION NO:          13
 AVERAGE RES:   4.97878762E-03
 ITERARION NO:          14
 AVERAGE RES:   1.87643431E-03
 ITERARION NO:          15
 AVERAGE RES:   4.98474343E-03
 ITERARION NO:          16
 AVERAGE RES:   1.87739381E-03
 ITERARION NO:          17
 AVERAGE RES:   4.98786476E-03
 ITERARION NO:          18
 AVERAGE RES:   1.87789625E-03
 ITERARION NO:          19
 AVERAGE RES:   4.98954998E-03
 ITERARION NO:          20
 AVERAGE RES:   1.87816448E-03
 ITERARION NO:          21
 AVERAGE RES:   4.99041891E-03
 ITERARION NO:          22
 AVERAGE RES:   1.87830476E-03
 ITERARION NO:          23
 AVERAGE RES:   4.99090273E-03
 ITERARION NO:          24
 AVERAGE RES:   1.87838299E-03
 ITERARION NO:          25
 AVERAGE RES:   4.99120448E-03
 ITERARION NO:          26
 AVERAGE RES:   1.87843200E-03
 ITERARION NO:          27
 AVERAGE RES:   4.99131717E-03
 ITERARION NO:          28
 AVERAGE RES:   1.87844748E-03
 ITERARION NO:          29
 AVERAGE RES:   4.99138329E-03
 ITERARION NO:          30
 AVERAGE RES:   1.87846122E-03
 ITERARION NO:          31
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          32
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          33
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          34
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          35
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          36
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          37
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          38
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          39
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          40
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          41
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          42
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          43
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          44
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          45
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          46
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          47
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          48
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          49
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          50
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          51
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          52
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          53
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          54
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          55
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          56
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          57
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          58
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          59
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          60
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          61
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          62
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          63
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          64
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          65
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          66
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          67
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          68
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          69
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          70
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          71
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          72
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          73
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          74
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          75
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          76
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          77
 AVERAGE RES:   4.99139121E-03
 ITERARION NO:          78
 AVERAGE RES:   1.87846296E-03
 ITERARION NO:          79
